mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_0_max,mfcc_1_max,mfcc_2_max,mfcc_3_max,mfcc_4_max,mfcc_5_max,mfcc_6_max,mfcc_7_max,mfcc_8_max,mfcc_9_max,mfcc_10_max,mfcc_11_max,mfcc_12_max,mfcc_0_min,mfcc_1_min,mfcc_2_min,mfcc_3_min,mfcc_4_min,mfcc_5_min,mfcc_6_min,mfcc_7_min,mfcc_8_min,mfcc_9_min,mfcc_10_min,mfcc_11_min,mfcc_12_min,mfcc_0_median,mfcc_1_median,mfcc_2_median,mfcc_3_median,mfcc_4_median,mfcc_5_median,mfcc_6_median,mfcc_7_median,mfcc_8_median,mfcc_9_median,mfcc_10_median,mfcc_11_median,mfcc_12_median,mfcc_0_skew,mfcc_1_skew,mfcc_2_skew,mfcc_3_skew,mfcc_4_skew,mfcc_5_skew,mfcc_6_skew,mfcc_7_skew,mfcc_8_skew,mfcc_9_skew,mfcc_10_skew,mfcc_11_skew,mfcc_12_skew,mfcc_0_kurt,mfcc_1_kurt,mfcc_2_kurt,mfcc_3_kurt,mfcc_4_kurt,mfcc_5_kurt,mfcc_6_kurt,mfcc_7_kurt,mfcc_8_kurt,mfcc_9_kurt,mfcc_10_kurt,mfcc_11_kurt,mfcc_12_kurt,label,arquivo_origem
-300.7315,-1.0619391,-79.313774,1.866937,-11.963105,-7.1151004,5.033536,-10.853764,-4.1077294,1.5847745,-8.9736395,3.105415,-9.067715,11.6077585,4.491343,10.8123045,8.481701,8.978011,6.5551085,5.938891,5.8902144,6.601078,6.6505294,5.361455,5.0492134,5.1374927,-254.64555,17.10097,-60.385925,23.637527,25.552725,24.131104,26.656933,3.1719122,20.64751,22.457344,5.3349886,20.893373,4.767896,-347.74988,-14.236865,-128.35107,-39.933155,-34.058197,-19.714558,-21.919674,-33.329926,-25.225079,-12.229561,-29.754095,-10.876304,-32.19577,-302.547,-1.1799874,-77.4035,2.1354227,-12.285551,-8.392679,5.526093,-10.129495,-4.1074877,0.9600012,-9.330796,3.2735584,-9.037059,1.2391633,0.50355285,-2.0415606,-0.9450186,0.9959212,1.5582919,-1.4981521,-1.0209566,0.18542962,0.48409387,0.113092095,0.1809469,-0.9388385,2.9126825,1.2416701,4.872018,3.2972555,2.4659333,3.6435719,5.7652836,1.8323779,0.63949037,0.13952684,0.40771222,0.42571378,3.4470234,1,XC1003072 - sabiá-laranjeira - Turdus rufiventris.wav
-194.77226,-4.274556,-14.609862,0.9455545,2.2442527,0.61569893,2.3132288,-2.294445,-0.84821206,1.503623,-0.18150589,0.4166257,-0.1500261,7.3655663,3.7228136,8.181027,5.049874,6.3342056,5.1580396,4.847858,4.500842,4.2549024,4.4860063,4.075181,4.009289,3.9782248,-159.9643,15.537624,-2.544468,13.112425,32.556244,25.348793,18.820541,7.9207983,17.97548,20.871166,14.644873,15.518498,8.735358,-208.53554,-14.754133,-51.855244,-26.953846,-9.202978,-8.544072,-22.733105,-22.917286,-15.717947,-8.631557,-16.647308,-15.396086,-19.6911,-196.16225,-4.4845295,-12.6216345,1.7008293,1.2289212,-0.11657247,2.7345474,-1.7552664,-1.0833135,1.1361096,-0.45347986,0.4910179,0.24530637,2.0889783,0.6938762,-2.4677024,-1.7296603,2.2246592,1.689526,-1.4808424,-1.4068737,0.9094704,1.1175431,0.15786316,-0.49769682,-1.561548,5.365202,2.7476149,6.4295044,6.0980835,6.3382998,4.4400783,5.8365946,3.492962,3.1882877,3.1500607,1.4408259,3.0177236,5.500746,1,AUG_0_XC1003072 - sabiá-laranjeira - Turdus rufiventris.wav
-318.0967,-17.561111,-76.08165,6.7732377,-13.663784,-3.0996325,1.8644786,-14.852833,2.9876187,-6.0586367,-3.7373927,-2.8191893,-7.214332,12.0964575,5.166113,11.376179,7.9208207,10.600386,7.1366315,7.6192126,5.610499,5.956897,6.256917,6.013544,6.227414,6.2156687,-267.38196,1.7137127,-55.28831,26.648964,27.665293,19.77229,18.449116,-0.36024737,30.886292,11.667063,9.130751,10.177282,5.3819504,-366.49182,-37.777267,-129.68796,-31.226883,-39.22178,-18.030643,-29.756746,-31.829678,-10.8110695,-23.41565,-25.074795,-22.590601,-28.204742,-320.1748,-17.661583,-74.084114,6.9052925,-14.9830885,-4.214682,2.754221,-14.408046,2.145848,-6.2329755,-2.995472,-2.6889005,-6.971468,1.1529156,0.17508835,-2.0797203,-0.66125906,1.1300312,0.5443272,-1.3513039,-0.3736299,1.2519741,0.13827117,-0.65109044,-0.23141913,-0.51878965,2.8379383,0.9424982,5.0866613,2.1382542,2.3596797,-0.011679649,3.2339306,0.10003376,2.6090412,-0.06803465,0.6066797,-0.28558278,0.26349163,1,AUG_1_XC1003072 - sabiá-laranjeira - Turdus rufiventris.wav
-310.3228,-12.942649,-76.28866,5.095094,-12.7926,-4.501321,3.616709,-14.805119,1.9458542,-4.7792907,-4.35357,-1.3447936,-7.5858502,11.790243,4.8567944,11.132586,7.730166,10.005906,6.7153583,6.991685,5.2499895,5.9501014,6.208981,5.8402514,5.7963223,5.9565334,-263.38522,6.291602,-56.12938,24.98016,28.38494,19.099915,19.738405,-0.5750072,28.757133,14.297201,9.332695,15.659845,6.239798,-357.01694,-32.20849,-131.26347,-31.8205,-35.892353,-18.399733,-26.76429,-34.629498,-13.08367,-19.600918,-24.134375,-19.116783,-32.078804,-311.90573,-12.941575,-74.46355,5.1875067,-13.665602,-5.3754187,4.3057556,-14.143635,1.322786,-5.0289693,-3.6844602,-1.0595751,-7.1668167,1.120042,0.16280958,-2.1377683,-0.77657235,1.1461796,0.64126295,-1.6677533,-0.7978734,1.0828975,0.19012386,-0.5526903,-0.16346379,-0.7128185,2.8022857,1.1086197,5.3279133,2.8413944,2.6244788,0.19066691,4.828419,1.0072207,2.8634872,-0.24997163,0.51997113,-0.1185956,1.5242214,1,AUG_2_XC1003072 - sabiá-laranjeira - Turdus rufiventris.wav
-237.03036,-3.7176716,-27.875303,1.5467814,2.3442173,-0.24613522,4.3226895,-2.7273386,-1.6162695,2.8981674,-0.90852547,0.9796564,-0.4198301,9.089829,3.9347832,9.514426,6.1433606,7.0277457,6.123817,5.528955,5.6454864,4.6903877,4.7717676,4.1827703,4.465808,4.446844,-197.4941,9.934286,-13.632099,13.609497,33.13207,32.212135,25.179388,11.262139,17.675724,21.541706,13.611031,22.8591,9.441645,-289.3242,-13.885454,-68.64393,-33.401276,-13.082887,-12.625658,-21.95159,-30.748457,-18.849972,-7.2501984,-12.67889,-14.050673,-19.850529,-238.66028,-3.8808522,-25.711292,1.7000909,1.4703449,-1.3019097,4.8704557,-1.6466616,-1.7571042,2.6619592,-0.6128367,0.86189187,0.087388024,1.1577746,0.22244573,-2.3374274,-1.8599609,1.9396666,2.1131473,-1.3044456,-1.9235096,0.44204327,0.7215946,0.061068483,0.36870858,-0.95524186,5.797328,0.47637844,5.6880503,6.6513605,5.446232,6.4550314,5.816309,5.7162905,1.991468,1.4684916,0.47954845,2.2212481,2.3186207,1,AUG_3_XC1003072 - sabiá-laranjeira - Turdus rufiventris.wav
-344.31805,57.21459,-24.349089,9.547179,4.116865,-3.5309386,-15.378121,1.1347448,-0.35717368,-8.072291,-4.3500175,-6.8534822,-0.29651332,19.216427,8.475815,19.790636,8.811629,15.995009,9.372842,12.160926,8.501387,10.362643,7.711073,8.373445,6.332155,6.3240075,-239.97978,76.09537,19.843803,46.37748,49.020477,21.038458,3.5203805,35.886528,29.281681,25.885792,15.028415,15.72711,16.55008,-397.42084,-0.48470575,-74.01489,-12.187602,-18.774033,-43.29218,-52.50071,-14.257552,-31.105686,-40.162872,-29.83548,-20.364197,-17.338419,-353.75708,59.128708,-13.668506,7.5021453,-3.4796438,-1.2504675,-10.008578,-1.0706444,-4.048642,-6.5434637,-1.8573363,-7.8604918,-1.5500473,1.2307293,-2.1628854,-0.8014657,1.4352587,0.94658375,-1.4135829,-0.8711881,1.6139214,0.7241007,-1.242165,-0.728185,1.1444056,0.4823109,1.8944011,8.996345,-0.47417188,2.7841964,-0.22608566,2.7032123,-0.41453123,2.6553307,-0.18775392,3.5969577,-0.34704566,1.6707573,-0.13656306,1,XC1006659 - sabiá-laranjeira - Turdus rufiventris.wav
-356.82974,14.606852,-5.8834157,3.2091289,7.255247,-3.4095438,-7.9762607,0.5522151,1.9985254,-3.674696,-4.517316,-1.7210131,0.8839078,158.04185,7.1920886,15.454572,6.157089,12.744045,7.018178,10.565765,6.849972,8.00795,6.4278765,6.8872166,5.304516,5.494528,-233.80669,30.965202,16.326677,32.0032,46.772053,13.272854,7.056387,33.20368,25.542494,14.735865,10.959904,20.792625,18.037598,-752.96796,-5.412474,-54.928703,-17.784643,-12.2319145,-37.614136,-41.201477,-12.60543,-18.206951,-32.03769,-25.782581,-17.656984,-14.356894,-300.31845,16.583254,0.0,1.8293701,1.0316871,-1.5096247,-3.303568,-0.2473641,0.0,-2.2781017,-1.8616462,-1.9425219,0.0,-2.072611,-0.9409161,-1.3257822,1.3365437,1.3107148,-1.961795,-1.1877728,1.9705532,0.9816885,-1.5690621,-0.96212584,0.7953889,0.65181786,2.3700023,0.079461336,0.85782456,3.7410398,0.78656435,5.103883,0.3291099,4.9988513,0.24786305,3.2784443,0.002393961,1.9126239,0.16846633,1,AUG_0_XC1006659 - sabiá-laranjeira - Turdus rufiventris.wav
-325.8666,40.642536,-14.269237,4.7322135,7.8174763,-4.9946117,-12.576524,0.35093835,0.7446514,-6.5404816,-4.8994966,-4.811682,0.019965097,16.930159,6.476436,19.302256,8.247309,15.261199,8.765156,11.935736,8.1739,9.79397,7.5571427,7.9404655,6.117774,6.2310305,-236.48671,57.27097,19.215494,38.28882,50.23263,21.52139,5.4009595,35.54589,28.423714,26.419987,13.941318,17.086445,17.96161,-377.71033,-2.0584505,-65.5222,-18.961742,-18.324707,-42.57251,-49.69483,-13.468836,-24.624142,-37.893204,-27.706436,-19.477808,-16.406624,-334.06674,41.527508,-3.459488,2.7923355,0.70757365,-2.6654744,-7.4533415,-1.8769995,-2.9358087,-5.01501,-2.3942804,-5.701722,-1.2145396,1.1559284,-1.7450291,-0.9303844,1.3933766,0.9459077,-1.4251192,-0.9155191,1.7028507,0.7892575,-1.3445333,-0.7221595,1.0347128,0.5256307,1.6465077,7.226775,-0.3156252,2.7463474,-0.2610445,2.7891917,-0.29564738,3.0917606,-0.32311964,3.58177,-0.44277477,1.7459807,-0.10216236,1,AUG_1_XC1006659 - sabiá-laranjeira - Turdus rufiventris.wav
-349.8075,55.447727,-25.086636,9.622063,4.4692335,-3.7825077,-15.85809,1.1715405,-0.20971575,-8.358147,-4.787946,-7.0917764,-0.3528084,19.514683,8.664875,19.844786,9.0563345,16.079567,9.701611,12.32542,8.737583,10.4616165,8.071268,8.689562,6.6250143,6.5902305,-248.27702,73.803276,23.031895,47.792076,49.546394,21.794643,3.619095,35.28319,29.774069,26.959106,16.110407,16.656448,17.864311,-400.96765,-2.8860176,-74.77643,-12.337839,-21.630894,-44.32266,-51.04079,-17.559326,-32.29596,-40.417046,-29.843952,-21.31746,-18.098732,-358.85303,57.28416,-15.231039,7.807246,-3.02389,-1.45516,-11.0748825,-1.0204477,-3.8610902,-6.808405,-2.3378634,-8.217062,-1.5451366,1.2248365,-2.158112,-0.74502385,1.3445332,0.8920743,-1.345695,-0.807459,1.5728168,0.63484216,-1.1880664,-0.60524327,1.0750451,0.34614184,2.1312938,9.207307,-0.4887743,2.600614,-0.25899744,2.432454,-0.4717102,2.5939274,-0.21457577,3.3154044,-0.45800877,1.5459828,-0.25912237,1,AUG_2_XC1006659 - sabiá-laranjeira - Turdus rufiventris.wav
-344.34384,57.214043,-24.345766,9.548183,4.112464,-3.5420098,-15.378953,1.1403431,-0.3550455,-8.067022,-4.362398,-6.8635716,-0.2992539,19.269836,8.474873,19.790367,8.812908,15.996492,9.369857,12.159182,8.499363,10.36091,7.7147126,8.368278,6.34671,6.3237467,-239.4491,76.287,20.002138,46.23811,49.206696,20.690151,3.6453037,35.717743,29.614452,25.350788,15.13109,16.103394,16.417656,-398.737,-0.38808334,-73.79026,-12.412714,-19.058556,-43.619385,-52.27437,-14.110774,-31.142609,-40.03638,-29.458012,-20.33775,-17.05244,-353.84482,59.144806,-13.728209,7.426987,-3.571796,-1.2956553,-9.9448595,-1.1350386,-4.0407634,-6.634193,-1.8723413,-7.833644,-1.5252413,1.2039937,-2.1648805,-0.80099183,1.4348971,0.9466036,-1.411865,-0.872749,1.6139511,0.7238356,-1.2427615,-0.72634184,1.1367285,0.4858456,1.901557,9.00294,-0.4758439,2.7911305,-0.22477388,2.701375,-0.41195536,2.6585693,-0.18945384,3.5781517,-0.34536457,1.6622167,-0.14156961,1,AUG_3_XC1006659 - sabiá-laranjeira - Turdus rufiventris.wav
